believe,信じる
typical,典型的な
positive,積極的な
negative,好ましくない
passive,受動的な
physical,身体の
mental,精神の
rather,むしろ
instead,代わりに
otherwise,さもなければ
somehow,どうにかして
somewhat,いくぶん
wonder,思う
suppose,思う
imagine,想像する
regard,見なす
wish,思う
determine,決定する
express,表現する
represent,表す
identify,特定する
mention,言及する
solve,解決する
prove,証明する
communicate,意思を通じ合う
respect,尊敬する
prefer,ほうを好む
design,設計する
establish,設立する
found,設立する
publish,出版する
serve,役に立つ
supply,供給する
apply,申し込む
treat,扱う
search,探す
prepare,準備する
protect,保護する
pick,選ぶ
fit,合う
gain,手に入れる
enter,入る
spread,広がる
advance,進歩
tend,傾向がある
depend,依存する
exist,存在する
decline,減少する
decrease,減る
waste,浪費する
damage,損害を与える
suffer,苦しむ
act,行動する
perform,実行する
species,種
variety,多様
degree,程度
range,範囲
standard,水準
medium,媒体
advantage,有利な点
task,任務
rest,残り
purpose,目的
feature,特徴
factor,要因
shape,形
image,イメージ
detail,詳細
character,性格
function,機能
structure,構造
ground,地上
influence,影響
disease,病気（≒ illness
pain,痛み
medicine,薬
death,死
fear,恐怖
memory,記憶
emotion,感情
movement,運動
region,地域
climate,気候
temperature,体温
community,地域社会
population,人口
generation,世代
present,出席している
recent,最近の
current,現在の
ancient,古代の
previous,前の
serious,真剣な
careful,注意深い
responsible,責任がある
active,活動的な
afraid,恐れて
aware,気づいて
patient,我慢強い
whole,全体の
low,低い
huge,巨大な
blank,空白の
central,中心的な
safe,安全な
wild,野生の
eventually,最終的に
unfortunately,残念なことに
seemingly,見たところ
afterward,後で
altogether,完全に
assume,仮定する
guess,思う
associate,連想する
desire,強く望む
indicate,示す
respond,応答する
reply,返事を出す
attempt,試みる
manage,対応する
maintain,維持する
unite,結合する
join,加わる
attract,魅了する
match,調和する
attack,襲う
seek,探し求める
engage,従事する
succeed,成功する
marry,結婚する
attend,出席する
satisfy,満足させる
survive,生き残る
promote,促進する
earn,稼ぐ
feed,食べ物を与える
taste,味がする
smell,匂いがする
adapt,適応する
adopt,採用する
adjust,調整する
separate,分ける
exchange,交換する
replace,取り替える
remove,取り除く
release,解放する
disappear,消える
observe,観察する
estimate,見積もる
reveal,明らかにする
emerge,現れる
arise,生じる
citizen,国民
career,経歴
income,収入（⇔ expense
billion,10億
bill,請求書
charge,料金
item,品目
scale,規模
site,場所
section,部分
crop,作物
diet,食事
source,源
resource,資源
moment,瞬間
decade,10年間
stage,段階
aspect,側面
sort,種類
instance,実例
link,関連
contrast,対照
access,利用
device,装置
survey,調査
technique,技術
content,中身
surface,表面
concept,概念
difficulty,困難
trouble,困難
crime,犯罪
attitude,態度
habit,習慣
whatever,たとえ何を…しても
urban,都市の
rural,田園の
local,その土地の
native,母国の
smart,頭のよい
intelligent,知能の高い
intellectual,知的な
potential,潜在的な
moral,道徳の
private,個人的な
equal,等しい
fair,公正な
entire,全体の
initial,初期の
essential,必要不可欠な
significant,重要な
terrible,ひどい
digital,デジタルの
direct,直接の
nearly,もう少しで
merely,単に
seldom,めったに…ない
lately,最近
apart,離れて
trust,信頼する
promise,約束する
predict,予測する
reflect,反映する
recall,思い出す
rely,頼る
commit,犯す
appreciate,ありがたく思う
praise,褒める
doubt,疑わしいと思う
complain,不平を言う
ignore,無視する
warn,警告する
gather,集める
acquire,身に付ける
examine,調べる
score,得点する
judge,判断する
select,選び出す
divide,分ける
distinguish,区別する
graduate,卒業する
shift,移す
hide,隠す
mix,混ぜる
fix,修理する
display,展示する
define,定義する
invent,発明する
vary,異なる
expand,拡大する
evolve,進化する
confuse,混同する
consume,消費する
compete,競争する
repeat,繰り返す
repair,修理する
remind,思い出させる
refuse,拒否する
reject,拒絶する
deny,否定する
destroy,破壊する
audience,観衆
race,民族
conflict,争い
debate,論争
struggle,懸命の努力
strategy,戦略
progress,進歩
principle,原則
element,要素
origin,起源
birth,出産
ancestor,祖先
cell,細胞
gene,遺伝子
scene,場面
trend,傾向
traffic,交通
track,跡
series,連続
context,状況
background,背景
basis,基準
status,地位
volunteer,ボランティア
staff,スタッフ
duty,義務
labor,労働
reward,褒美
aim,目的
fun,楽しみ
crowd,群衆
revolution,革命
poverty,貧困
consequence,結果
sequence,連続
complex,複雑な
complicated,複雑な
FALSE,誤った
alternative,代替の
extreme,極端な
ideal,理想的な
primary,最も重要な
worth,価値のある
obvious,明らかな
legal,法律の
commercial,商業的な
artificial,人工の
chemical,化学の
biological,生物の
former,元の
mobile,可動式の
straight,真っすぐな
regular,定期的な
independent,自立した
overseas,海外へ
unlike,～と違って
via,〜の媒介で
whereas,一方で
perceive,知覚する
fascinate,魅了する
bore,退屈させる
disappoint,失望させる
imply,それとなく言う
recommend,勧める
demonstrate,証明する
conclude,結論づける
announce,発表する
appeal,心に訴える
address,取り組む
advertise,宣伝する
invite,招待する
afford,持つ余裕がある
purchase,購入する
participate,参加する
belong,所属している
conduct,行う
behave,振る舞う
operate,操作する
organize,主催する
host,主催する
combine,組み合わせる
deliver,配達する
locate,置く
encounter,出会う
surround,囲む
explore,探検する
stick,くっつく
strike,当たる
hurt,痛める
bite,噛む
tear,引き裂く
aid,援助する
press,押す
burn,燃やす
flow,流れる
preserve,保存する
borrow,借りる
steal,盗む
escape,逃れる
neighbor,隣人
household,世帯
resident,住民
vehicle,乗り物
wheel,ハンドル
delay,遅れ
fuel,燃料
pollution,汚染
atmosphere,雰囲気
electricity,電気
cancer,癌
plague,疫病
threat,恐れ
flood,洪水
earthquake,地震
disaster,災害
crisis,危機
victim,被害者
wealth,富
fund,資金
capital,資本
profit,収益
talent,才能
capacity,能力
scholar,学者
tradition,伝統
literature,文学
lecture,講義
manner,方法
symbol,象徴
analysis,分析
version,…版
perspective,観点
vision,展望
sight,見えること
insight,洞察
bilingual,バイリンガルの
capable,能力がある
willing,いとわない
eager,熱望して
amazing,驚くほどの
calm,冷静な
quiet,静かな
senior,高齢者の
elderly,年配の
firm,確固とした
severe,ひどい
tough,困難な
rapid,急速な
immediate,即座の
vast,広大な
enormous,巨大な
broad,広範囲な
narrow,狭い（⇔ broad
tiny,ても小さな
efficient,効率のよい
constant,絶え間ない
nearby,すぐ近くの
distant,遠い
insist,主張する
intend,意図する
inspire,奮起させる
emphasize,強調する
propose,提案する
persuade,説得する
convince,納得させる
admit,認める
favor,賛成する
excuse,大目に見る
interpret,解釈する
translate,翻訳する
concentrate,精神を集中する
criticize,非難する
blame,責める
oppose,反対する
inform,知らせる
grant,与える
obtain,得る（≒ get
transform,変える
alter,変える
arrange,並べる
interact,相互に作用する
handle,処理する
extend,延長する
settle,定住する
contribute,貢献する
construct,建設する
consist,成る
suit,似合う
tie,結び付ける
differ,異なる
hate,ひどく嫌う
dislike,嫌う
disagree,意見が合わない
regret,後悔する
employ,雇用する
hire,雇う（⇔ fire
absorb,夢中にさせる
expose,さらす
breathe,呼吸する
root,起源
immigration,移住
tribe,部族
landscape,風景
agriculture,農業
soil,土壌
mine,鉱山
mass,大衆
quarter,4分の1
era,時代
circumstance,状況
phenomenon,現象
custom,慣習
religion,宗教
civilization,文明
universe,宇宙
diversity,多様性
trait,特性
review,批評
occasion,場合
campaign,運動
board,委員会
facility,施設
court,法廷
trial,裁判
laboratory,研究室
instrument,道具
instruction,指示
document,書類
target,目標
outcome,結果
muscle,筋肉
wage,賃金
gender,性
confidence,自信
credit,信用
conscious,意識して
anxious,心配して
asleep,眠って
alive,生きている
alike,似ている
excellent,秀でている
odd,奇妙な
sensitive,敏感な
sensible,賢明な
violent,暴力的な
military,軍の
nuclear,原子力の
contemporary,現代の
elementary,初等の
annual,年1回の
chief,第1の
actual,実際の
virtual,仮想の
numerous,多数の
multiple,多くの
widespread,広範囲にわたる
sufficient,十分な
empty,空の
confirm,裏付ける
illustrate,説明する
spell,つづる
bother,困らせる
annoy,いらいらさせる
disturb,邪魔する
discourage,思いとどまらせる
embarrass,当惑させる
frighten,怖がらせる
puzzle,当惑させる
upset,動揺させる
stimulate,刺激する
beat,打ち負かす
blow,吹く
injure,傷つける（≒ wound
cure,治す
recover,回復する
overcome,克服する
quit,やめる
transfer,移す
transport,輸送する
export,輸出する
import,輸入する
invest,投資する
investigate,調査する
manufacture,製造する
react,反応する
award,授与する
ban,禁止する（≒ prohibit
prohibit,禁止する（≒ ban
forbid,禁じる（≒ ban
abandon,捨てる
freeze,凍る
lift,持ち上げる
hang,掛ける
shake,振る
stretch,伸ばす
lay,置く
stare,じっと見つめる
gaze,見つめる
capture,捕らえる
breed,繁殖させる
mammal,哺乳類
ape,類人猿
insect,昆虫
infant,乳児
organ,臓器
web,ウェブ
fossil,化石
battle,戦闘
enemy,敵
weapon,兵器
arm,腕
army,陸軍
navy,海軍
border,境界線
barrier,障壁
philosophy,哲学
psychology,心理学
alarm,警報
harm,害
depression,うつ病
disadvantage,不利
shortage,不足
stock,在庫品
loan,ローン
budget,予算
innovation,革新
union,組合
unit,単位
material,材料
substance,物質
stuff,もの
proportion,割合
edge,へり
code,規範
mystery,なぞ
curious,好奇心の強い
strict,厳しい
frank,率直な
polite,丁寧な
aggressive,攻撃的な
accurate,正確な（≒ exact
exact,正確な（≒ accurate
proper,適切な
brief,短時間の
extraordinary,並はずれた
flexible,柔軟な
pleasant,楽しい
comfortable,心地よい
stable,安定した
thick,分厚い
thin,やせた
abstract,抽象的な
concrete,具体的な
absolute,絶対的な
prime,最も重要な
vital,極めて重要な
contrary,反対の
regardless,気にかけない
permit,許可する
suspect,ないかと思う
pursue,追求する
pretend,ふりをする
calculate,計算する
guarantee,保証する
acknowledge,認める
impress,感動させる
urge,熱心に勧める
convey,伝達する
celebrate,祝う
admire,感嘆する
devote,充てる
dominate,支配する
eliminate,取り除く
restrict,制限する
isolate,切り離す
endanger,危険にさらす
secure,確保する
reserve,予約する
possess,持っている
launch,始める
detect,見つける
reverse,逆転させる
convert,変える
hurry,急ぐ
rush,急ぐ
roll,転がる
crash,衝突する
bury,埋める
dig,掘る
attach,付ける
melt,溶ける
accompany,一緒に行く
assist,手伝う
cope,対処する
lend,貸す
rent,賃借りする
owe,借りている
apologize,謝る
forgive,許す
tongue,言語
dialect,方言
accent,なまり
colony,植民
grain,穀物
harvest,収穫
ingredient,材料
portion,部分
hunger,飢え
obesity,肥満
burden,負担
emergency,緊急事態
debt,借金
contract,契約
client,得意客
therapy,療法
physician,内科医
democracy,民主主義
election,選挙
vote,投票
candidate,候補者
minister,大臣
conference,会議
ceremony,式典
institution,機関
corporation,企業
cooperation,協力
authority,当局
theme,主題
notion,考え
hypothesis,仮説
discipline,規律
route,道
routine,日課
destination,目的地
domestic,国内の
ethnic,民族の
alien,異質の
visible,目に見える
verbal,言葉による
fundamental,基本の
conventional,従来の
relevant,関係のある
rational,合理的な
precise,正確な
principal,主要な
crucial,重大な
permanent,永続的な
intense,激しい
equivalent,相当する
frequent,頻繁な
sudden,突然の
temporary,臨時の
internal,内部の
external,外部の
distinct,まったく異なる
extinct,絶滅した
exhausted,疲れ果てた
evil,邪悪な
greet,挨拶する
chat,おしゃべりをする
remark,述べる
utter,発する
command,命ずる
declare,宣言する
pronounce,発音する
correspond,一致する
imitate,まねる
resemble,似ている
exhibit,展示する
distribute,分配する
attribute,せいと考える
evaluate,評価する
assess,評価する
deserve,値する
weigh,重さがある
strengthen,強くする
weaken,弱める
approve,賛成する
assign,割り当てる
sustain,持続させる
accomplish,成し遂げる
relieve,和らげる
frustrate,不満を抱かせる
scare,怖がらせる
resist,我慢する
protest,抗議する
shut,閉める
defeat,負かす
neglect,怠る
retire,引退する
reform,改革する
collapse,崩壊する
ruin,台無しにする
sink,沈む
pile,積み重ねる
derive,得る
yield,産出する
occupy,占める
wrap,包む
embrace,抱き締める
length,長さ
height,高さ
volume,量
sum,金額
frame,額縁
boundary,境界
district,地区
territory,領土
square,正方形
empire,帝国
heritage,遺産
fee,料金
discount,割引
charity,慈善事業
mission,使命
profession,職業
slave,奴隷
witness,目撃者
incident,出来事
insurance,保険
welfare,福祉
treasure,宝物
leisure,余暇
priority,優先事項
reputation,評判
honor,名誉
statue,像
architecture,建築
logic,論理
mechanism,仕組み
clue,手がかり
means,手段
trap,わな
trick,策略
guard,警戒
innocent,無罪の
guilty,罪悪感のある
rude,無礼な
shy,内気な
liberal,寛大な
stupid,愚かな
reluctant,気が進まない
generous,気前のよい
modest,謙虚な
lonely,寂しい
pure,純粋な
grand,豪華な
adequate,十分な
apparent,明らかな
classic,最高水準の
remote,遠く離れた
solid,固体の
raw,生の
plain,平易な
primitive,原始的な
steady,着実な
slight,わずかな
subtle,微妙な
delight,大喜びさせる
entertain,楽しませる
fulfill,満たす
cheer,元気づける
amuse,笑わせる
anticipate,予期する
confront,立ちはだかる
undergo,経験する
exceed,超える
overwhelm,まいらせる
shoot,撃つ
murder,殺害する
rob,奪う
deprive,奪う
rid,取り除く
interrupt,さえぎる
interfere,邪魔をする
bully,いじめる
defend,守る
rescue,救う
accuse,非難する
sue,訴える
wander,ぶらつく
chase,追いかける
arrest,逮捕する
submit,提出する
punish,罰する
resolve,解決する
justify,正当化する
restore,戻す
modify,修正する
impose,押しつける
compose,構成する
classify,分類する
substitute,代わりに使う
shrink,縮む
lean,寄りかかる
fold,折り畳む
load,積む
pour,注ぐ
float,浮かぶ
shine,輝く
editor,編集者
poetry,詩
usage,使い方
sector,部門
span,期間
literacy,読み書き能力
symptom,症状
phase,段階
surgery,手術
virus,ウイルス
poison,毒
protein,タンパク質
liquid,液体
oxygen,酸素
globe,世界
pole,極
valley,谷
conservation,保護
channel,伝達経路
glacier,氷河
pioneer,先駆者
prospect,見込み
enthusiasm,熱狂
passion,情熱
fortune,財産
obstacle,障害
prejudice,偏見
justice,正義
opponent,相手
sacrifice,犠牲
fault,〔普通 the 〜
prison,刑務所
shelter,避難
committee,委員会
ritual,儀式
mature,大人になった
moderate,適度な
neutral,中立の
optimistic,楽観的な
pessimistic,悲観的な
radical,根本的な
rough,粗い
smooth,滑らかな
fluent,流ちょうな
casual,形式ばらない
instant,即時の
incredible,信じられない
genuine,本物の
precious,貴重な
prominent,重要な
blind,目が見えない
deaf,耳が聞こえない
harsh,厳しい
prompt,迅速な
inevitable,避けられない
marine,海洋の
tropical,熱帯の
Arctic,北極のの）
forecast,予報する
speculate,思索する
bet,きっとと思う
quote,引用する
consult,意見を求める
dispute,異議を唱える
accumulate,集める
grasp,ぎゅっとつかむ
grip,しっかり握る
seize,つかむ
comprehend,理解する
constitute,構成する
reinforce,強化する
resort,訴える
donate,寄付する
obey,従う
dedicate,ささげる
transmit,伝える
equip,装備する
bind,縛る
pose,投げかける
pause,休止する
hesitate,ためらう
split,分割する
bend,曲げる
tap,軽くたたく
boil,沸かす
bow,おじぎをする
conceal,隠す
dispose,処分する
cheat,だます
distract,そらす
exclude,締め出す
astonish,驚かせる
thrill,わくわくさせる
leap,跳ぶ
postpone,延期する
dismiss,解雇する
resign,辞める
withdraw,退く
fade,消えていく
vanish,消え失せる
continent,大陸
geography,地理
ecology,生態系
inhabitant,住民
suburb,郊外
furniture,家具
refrigerator,冷蔵庫
garbage,ごみ rubbish）
trash,ごみ rubbish）
litter,ごみ
trace,名残
row,列
core,核心
orbit,軌道
galaxy,銀河
myth,神話
faith,信頼
wisdom,知恵
obligation,義務
privilege,特典
discrimination,差別
ambition,願望
illusion,錯覚
instinct,本能
shame,残念なこと
humor,ユーモア
courage,勇気
sympathy,同情
tragedy,悲惨な出来事
fate,運命
destiny,運命
abuse,乱用
wound,傷
fever,熱
infection,伝染病
brave,勇敢な
brilliant,すばらしい
gentle,優しい
noble,高貴な
royal,王室の
sacred,神聖な
holy,神聖な
decent,きちんとした
grateful,感謝している
fond,好む
selfish,自分勝手な
awkward,厄介な
awful,ひどい
ultimate,最終的な
dynamic,活動的な
tremendous,てつもない
abundant,豊富な
dull,退屈な
urgent,緊急の
spare,余分の
tight,きつい
shallow,浅い
superficial,浅はかな
whisper,ささやく
yell,叫ぶ
scream,叫び声を上げる
nod,うなずく
swallow,飲み込む
yawn,あくびをする
cough,咳をする
hug,抱き締める
sweep,掃く
polish,磨く
decorate,装飾する
shed,流す
drag,引きずる
spoil,台無しにする
burst,破裂する
explode,爆発する
compromise,妥協する
exaggerate,誇張する
exploit,搾取する
utilize,利用する
irritate,いらいらさせる
insult,侮辱する
deceive,だます
violate,違反する
disgust,嫌悪感を持たせる
endure,我慢する
tolerate,耐える
suspend,一時的に中止する
cease,やめる
appoint,任命する
undertake,引き受ける
overtake,追いつく
proceed,移る
commute,通勤する
flourish,繁盛する
thrive,栄える
venture,思い切って着手する
accustom,慣れさせる
rear,育てる（≒ raise
inherit,相続する
blossom,開花する
esteem,尊敬する
merchant,商人
fare,運賃
voyage,航海
crew,乗組員
luggage,手荷物 baggage）
horizon,水平線
lightning,稲光
dawn,夜明け
astronomy,天文学
statistics,統計
dimension,局面
faculty,才能
scheme,計画
viewpoint,見地
output,生産
outlook,見通し
tuition,授業料
proverb,ことわざ
biography,伝記
narrative,話
chapter,章
string,ひも
tag,札
peasant,小作農
livestock,家畜
famine,飢饉
fatigue,疲労（≒ exhaustion
motive,動機
sweat,汗
peer,同等の人
glance,ちらりと見ること
glimpse,ちらりと見えること
luxury,ぜいたく品
prosperity,繁栄
fame,名声
keen,熱中して
inclined,たいと思う
competent,有能な（≒ able
superior,優れている
inferior,劣った
cruel,残酷な
indifferent,無関心な
ashamed,恥じて
bold,大胆な
ridiculous,ばかげた
ugly,醜い
pale,青白い
male,男性の
manual,手による
mutual,相互の
delicate,取り扱いの難しい
deliberate,故意の
gradual,徐々の
loose,緩い
bitter,つらい
mild,温暖な
dense,密集した
tense,張り詰めた
conceive,抱く
confess,告白する
conform,従う
offend,怒らせる
envy,うらやむ
boast,自慢する
dare,あえてする
confine,限定する
contradict,矛盾する
compensate,補償する
coincide,同時に起こる
assure,安心させる
attain,達成する
inquire,尋ねる
invade,侵略する
conquer,征服する
persist,固執する
last,続く
surrender,引き渡す
betray,裏切る
strain,ぴんと張る
refrain,控える
scatter,まき散らす
spill,こぼす
prevail,普及する
starve,飢えに苦しむ
digest,消化する
disguise,変装させる
strip,剥奪する
scratch,く
bathe,入浴させる
soak,浸す
stir,き回す
wind,曲がりくねる
heal,治す
knit,編む
sew,縫いつける
dye,染める
beg,懇願する
pray,祈る
congratulate,祝いの言葉を述べる
summit,頂上
mayor,市長
secretary,秘書
council,議会
panel,委員会
jury,陪審
quarrel,口論
divorce,離婚
thief,泥棒
refuge,避難
mercy,情け
caution,用心
pity,残念なこと
sorrow,悲しみ
grief,深い悲しみ
despair,絶望
suicide,自殺
ambulance,救急車
funeral,葬式
grave,墓
virtue,美徳
legend,伝説
prestige,威信
glory,栄光
dignity,尊厳
worship,崇拝
criterion,基準
consent,承諾
triumph,勝利
circulation,血行
merit,優秀さ
appetite,食欲
nutrition,栄養摂取
decay,虫歯
atom,原子
boom,好況
valid,正当な根拠のある
due,予定で
vacant,空いている
bare,裸の（≒ naked
naked,裸の（≒ bare
obscure,わかりにくい
peculiar,特有の
tidy,整然とした
minute,微小な
vague,漠然とした
steep,急な
humid,湿気のある
earnest,真剣な
absurd,ばかげた
hostile,反感を持った
idle,使われていない
jealous,嫉妬深い
loyal,忠実な
supreme,最高の
infinite,無限の
static,変化のない
thorough,徹底的な
immense,計り知れない
