kill,殺す,,,,
eat,食べる,,,,
clean,きれいな、きれいにする,,,,
season,季節,,,,
card,カード,,,,
warm,暖かい,,,,
begin,始める,,,,
sport,スポーツ,,,,
cut,切る,,,,
fruit,果物,,,,
wide,(幅が)広い,,,,
meat,肉,,,,
pet,ペット,,,,
buy,買う,,,,
sit,すわる,,,,
clothes,衣服,,,,
train,訓練する、列車,,,,
please,どうぞ、喜ばせる,,,,
kid,〈普通 kidsで〉子ども,,,,
cover,おおう,,,,
station,駅,,,,
happy,うれしい、幸福な,,,,
garden,庭,,,,
alone,1人で,,,,
everyone,みんな,,,,
floor,床,,,,
enjoy,楽しむ,,,,
club,クラブ,,,,
page,ページ,,,,
listen,聞く / 耳を傾ける,,,,
tea,茶 / 紅茶,,,,
nice,よい / すてきな,,,,
seat,席,,,,
park,公園,,,,
break,こわす,,,,
arrive,到着する,,,,
sorry,申し訳なく思って / 気の毒で,,,,
chair,イス,,,,
mountain,山,,,,
fine,元気な / 晴れた / すばらしい,,,,
join,参加する,,,,
drink,飲む / 飲み物,,,,
cup,カップ,,,,
ball,ボール,,,,
flower,花,,,,
bag,カバン / バッグ / 袋,,,,
glad,うれしい,,,,
hello,やあ / こんにちは,,,,
finish,終える / 終わる,,,,
bottle,ビン,,,,
key,カギ,,,,
drive,運転する,,,,
egg,卵,,,,
map,地図,,,,
careful,注意深い,,,,
good-bye,さようなら,,,,
evening,晩 / 夕方,,,,
bank,銀行,,,,
old,古い / 年をとった / ~歳,,,,
rain,雨 / 雨が降る,,,,
large,大きい / 広い,,,,
hotel,ホテル / 旅館,,,,
afternoon,午後,,,,
enter,入る,,,,
bad,悪い,,,,
store,店,,,,
message,伝言,,,,
left,左の,,,,
hat,(縁ありの) ぼうし,,,,
forest,森,,,,
song,歌,,,,
build,建てる,,,,
goal,目標,,,,
kitchen,台所,,,,
short,短い,,,,
dinner,ディナー / 夕食,,,,
low,低い / (声・音が) 小さい,,,,
corner,角 / 端,,,,
fly,飛ぶ / ハエ,,,,
bridge,橋,,,,
win,勝つ / (賞などを)獲得する,,,,
desk,机,,,,
laugh,笑う,,,,
coat,上着,,,,
hot,暑い / 熱い,,,,
gate,出入口 / 門,,,,
camera,カメラ,,,,
soft,やわらかい,,,,
knife,小刀 / ナイフ,,,,
clock,置き時計 / 掛け時計,,,,
bread,パン,,,,
dish,皿 / 料理,,,,
cool,すずしい,,,,
apple,リンゴ,,,,
dirty,汚い,,,,
moon,(天体の)月,,,,
well,上手に / ええと･･･,,,,
hole,穴,,,,
address,住所,,,,
here,ここに,,,,
sky,空,,,,
ice,氷,,,,
fill,満たす,,,,
radio,ラジオ,,,,
fun,楽しみ,,,,
even,･･･でさえ,,,,
advice,助言,,,,
home,在宅して / 家に / 家庭,,,,
sell,売る,,,,
restaurant,レストラン,,,,
dry,乾いた,,,,
coffee,コーヒー,,,,
again,再び,,,,
lesson,授業,,,,
milk,牛乳,,,,
teach,(学科などを)教える,,,,
lake,湖,,,,
shoe,(片方の)くつ,,,,
quiet,静かな,,,,
beach,浜,ここでは騒音をあまりたてないようにしなさい。,,関連語: noisy (うるさい), 
camp,キャンプ,,,,
ticket,切符,,,,
really,本当に,,,,
push,押す,,,,
favorite,お気に入りの / お気に入り,,,,
breakfast,朝食,,,,
gift,贈り物,,,,
choose,選ぶ,,,,
yesterday,昨日,,,,
wing,つばさ,,,,
dance,踊る,,,,
birthday,誕生日,,,,
angry,怒った / 腹を立てた,,,,
snow,雪 / 雪が降る,,,,
salt,塩,,,,
lunch,昼食,,,,
always,常に,,,,
magazine,雑誌,,,,
classroom,教室,,,,
away,離れて,,,,
sing,歌う,,,,
pilot,パイロット / 操縦士,,,,
concert,音楽会 / コンサート,,,,
late,遅く / 遅い / 最近の,,,,
roof,屋根,,,,
often,しばしば,,,,
sugar,砂糖,,,,
jump,跳ぶ,,,,
bath,入浴,,,,
tall,背の高い,,,,
cake,ケーキ,今、葉が黄色く色づき始めている。,,関連語: leaves, 
orange,オレンジ / オレンジ色,,,,
early,早く / 早い,,,,
wash,洗う,,,,
shirt,シャツ,,,,
pen,ペン,,,,
chocolate,チョコレート,,,,
busy,いそがしい,,,,
today,今日(は) / 今日,,,,
curtain,カーテン,,,,
airport,空港,,,,
smoke,タバコを吸う / 煙,,,,
cap,(縁なしの)ぼうし,,,,
tired,疲れた,,,,
magic,魔法,,,,
piano,ピアノ,,,,
soup,スープ,,,,
tomorrow,明日(は) / 明日,,,,
cook,料理する / 料理人,,,,
rice,米,,,,
medal,メダル,,,,
button,ボタン,,,,
lucky,幸運な,,,,
guitar,ギター,,,,
far,遠くに / 遠い,,,,
hard,一生懸命に / 難しい / かたい,,,,
soccer,サッカー,,,,
juice,汁 / ジュース,,,,
kick,ける,,,,
hungry,空腹の,,,,
dictionary,辞書,,,,
drum,太鼓 / ドラム,,,,
sandwich,サンドイッチ,,,,
pencil,えんぴつ,,,,
together,いっしょに,,,,
glove,手袋 / グローブ,,,,
swim,泳ぐ,,,,
textbook,教科書,,,,
everyday,毎日の,,,,
umbrella,傘,,,,
sometimes,時々,,,,
doll,人形,,,,
poster,ポスター,,,,
sock,(片方の)くつ下,,,,
lend,貸す,,,,
notebook,ノート,,,,
homework,宿題,,,,
cute,かわいい,,,,
ago,(今から)~前に,,,,
noon,正午,,,,
picnic,ピクニック,,,,
bark,ほえる,,,,
racket,ラケット,,,,
candy,キャンディー,,,,
elevator,エレベーター,,,,
cloudy,曇った,,,,
eraser,消しゴム,,,,
hamburger,ハンバーガー,,,,
o'clock,~時,,,,
bake,焼く,,,,
first,最初の,,,,
classmate,級友,,,,
alphabet,アルファベット,,,,
zoo,動物園,,,,
